doc_id,document
1tkevj8v,"The importance of host transmissibility in disease emergence has been demonstrated in historical and recent pandemics that involve infectious individuals, known as superspreaders, who are capable of transmitting the infection to a large number of susceptible individuals. To investigate the impact of superspreaders on epidemic dynamics, we formulate deterministic and stochastic models that incorporate differences in superspreaders versus nonsuperspreaders. In particular, continuous-time Markov chain models are used to investigate epidemic features associated with the presence of superspreaders in a population. We parameterize the models for two case studies, Middle East respiratory syndrome (MERS) and Ebola. Through mathematical analysis and numerical simulations, we find that the probability of outbreaks increases and time to outbreaks decreases as the prevalence of superspreaders increases in the population. In particular, as disease outbreaks occur more rapidly and more frequently when initiated by superspreaders, our results emphasize the need for expeditious public health interventions."
8qtintwl,"In healthcare settings microbial contaminated surfaces play an important role in indirect transmission of infection. Especially surfaces close to the patients’ environment may be touched at high frequencies, allowing transmission from animated sources to others via contaminated inanimate surfaces. Therefore, the knowledge on the survival of bacteria, fungi, viruses and protozoa on surfaces, and hence, in a broader sense, in the human environment, is important for implementing tactics for prevention of Healthcare-acquired Infections (HAI). This chapter will elaborate the role of surfaces in the transmission of pathogens. Particular emphasis is laid on the current knowledge of the survival time and conditions favouring survival of the pathogens. Finally, mechanisms of transmission from inanimate surfaces to patients are highlighted. Within the multi-barrier strategy of the prevention of HAI, environmental disinfection policies should be based on risk assessments for surfaces with different risks for cross contamination such as high- and low-touched surfaces with appropriate standards for adequate disinfection measures under consideration of the persistence and infectious dose of the pathogens. As a result, surface disinfection is indicated in the following situations: Frequently touched surfaces adjacent to patients. Surfaces with assumed or visible contamination. Terminal disinfection in rooms or areas where infected or colonized patients with easily transferable nosocomial pathogens are cared for, and in outbreak situations. Furthermore, the knowledge of the persistence of pathogens will also support ensuring the biosafety in microbiological and biomedical laboratories, food-handling settings, and for hygienic behaviour in the everyday life to prevent transmission of infectious diseases."
019lj813,"Theoretically, there are several ways of preventing the common cold: quarantine, immunisation (or vaccination); early treatment of effected individuals; or physical barriers to reduce transmission. All these methods can be dismissed after considering the epidemiology of the common cold, apart from the last. Evidence for effectiveness for physical barriers (which include masks to reduce aerosol transmission; handwashing; and gloves and gowns) come from a variety of empirical studies. The chance of bias for these studies is variable, but we can conclude that all of these barrier methods have important potential for preventing transmission of the common cold, although some methods will not be acceptable to the community currently."
37821r59,"Schools are socially dense environments, and school-based outbreaks often predate and fuel community-wide transmission of seasonal and pandemic influenza. While preemptive school closures can effectively reduce influenza transmission, they are disruptive and currently recommended only for pandemics. We assessed the feasibility of implementing other social distancing practices in K-12 schools as a first step in seeking an alternative to preemptive school closures. METHODS: We conducted 36 focus groups with education and public health officials across the United States. We identified and characterized themes and compared feasibility of practices by primary versus secondary school and region of the United States. RESULTS: Participants discussed 29 school practices (25 within-school practices implemented as part of the school day and 4 reduced-schedule practices that impact school hours). Participants reported that elementary schools commonly implement several within-school practices as part of routine operations such as homeroom stay, restriction of hall movement, and staggering of recess times. Because of routine implementation and limited use of individualized schedules within elementary schools, within-school practices were generally felt to be more feasible for elementary schools than secondary schools. Of reduced-schedule practices, shortening the school week and the school day was considered the most feasible; however, reduced-schedule practices were generally perceived to be less feasible than within-school practices for all grade levels. CONCLUSIONS: Our findings suggest that schools have many options to increase social distance other than closing. Future research should evaluate which of these seemingly feasible practices are effective in reducing influenza transmission in schools and surrounding communities."
1waejlwb,"OBJECTIVE: The novel coronavirus pandemic is ravaging throughout the world. It has infected more than 1.2 million people and killed more than 64,000. Frantic research is underway to find prevention and cure. Of late, Bacillus Calmette–Guérin (BCG) has been speculated as a possible protection from COVID-19. We sought to investigate the evidence behind the claim. MATERIAL AND METHODS: Data were collected regarding the total number of COVID-19 cases per million and total number of COVID-19 deaths per million in various countries. The BCG vaccination policies of these countries were also obtained. RESULTS: It was seen that the countries with no universal BCG policy had a mean 1272.9 (median 795) cases per million and 80.7 deaths (median 18) per million population. On the contrary, the countries with a universal BCG vaccination policy had a mean 131.2 (median 40) cases per million and 4 deaths (median 1) per population. The difference is highly significant (P < 0.001). CONCLUSION: The data strongly support the hypothesis that BCG may offer protection from COVID-19. Heterologous protection offered by BCG through production of trained immunity, epigenetic reprogramming of monocytes, non-specific activation of NK cells, and increase of pro-inflammatory cytokines (particularly, tumor necrosis factor [TNF]-alpha and interleukin 1 beta) production may be the mechanism behind its cross- protection against the novel coronavirus."
0o6agnrc,"Aim: The purpose of this study was to predict and analyze the structure and function of 2019-novel Coronavirus (nCoV) key proteins. Materials & methods: We obtained the structure and sequence of proteins from related databases and studied them through multiple sequence alignment, homology modeling, sequence analysis, virtual screening, reverse mutation, protein structure overlap and surface property analysis. Results & conclusion: We found no significant changes in envelope protein, membrane protein, nucleocapsid protein and key proteases in open reading frame 1ab, and predicted results of proteins and performed molecular dynamics simulations. Based on the surface properties of spike protein and docking results with angiotensin-converting enzyme 2, we believe that the binding ability of spike protein to angiotensin-converting enzyme 2 may be similar to SARS. These studies will help us in fighting 2019-nCoV."
0qur0isb,"The current pandemic of coronavirus disease 19 (COVID-19) has affected millions of individuals and caused thousands of deaths worldwide. The pathophysiology of the disease is complex and mostly unknown. Therefore, identifying the molecular mechanisms that promote progression of the disease is critical to overcome this pandemic. To address such issues, recent studies have reported transcriptomic profiles of cells, tissues and fluids from COVID-19 patients that mainly demonstrated activation of humoral immunity, dysregulated type I and III interferon expression, intense innate immune responses and inflammatory signaling. Here, we provide novel perspectives on the pathophysiology of COVID-19 using robust functional approaches to analyze public transcriptome datasets. In addition, we compared the transcriptional signature of COVID-19 patients with individuals infected with SARS-CoV-1 and Influenza A (IAV) viruses. We identified a core transcriptional signature induced by the respiratory viruses in peripheral leukocytes, whereas the absence of significant type I interferon/antiviral responses characterized SARS-CoV-2 infection. We also identified the higher expression of genes involved in metabolic pathways including heme biosynthesis, oxidative phosphorylation and tryptophan metabolism. A BTM-driven meta-analysis of bronchoalveolar lavage fluid (BALF) from COVID-19 patients showed significant enrichment for neutrophils and chemokines, which were also significant in data from lung tissue of one deceased COVID-19 patient. Importantly, our results indicate higher expression of genes related to oxidative phosphorylation both in peripheral mononuclear leukocytes and BALF, suggesting a critical role for mitochondrial activity during SARS-CoV-2 infection. Collectively, these data point for immunopathological features and targets that can be therapeutically exploited to control COVID-19."
7xqmuoye,"COVID-19 is a novel viral disease caused by SARS-CoV-2. The mid- and long-term outcomes have not yet been determined. COVID-19 infection is increasingly being associated with systemic and multi-organ involvement, encompassing cytokine release syndrome and thromboembolic, vascular and cardiac events. The patient described experienced unusually rapid development of pulmonary hypertension (PH) and right ventricular failure after recent severe COVID-19 pneumonia with cytokine release syndrome, which initially was successfully treated with methylprednisolone and tocilizumab. The development of pulmonary hypertension and right ventricular failure – in the absence of emboli on multiple CT angiograms – was most likely caused by progressive pulmonary parenchymal abnormalities combined with microvascular damage of the pulmonary arteries (group III and IV pulmonary hypertension, respectively). To the best of our knowledge, these complications have not previously been described and therefore awareness of PH as a complication of COVID-19 is warranted. LEARNING POINTS: COVID-19 increasingly presents with systemic and multi-organ involvement with vascular, thromboembolic and cardiac events. Patients with severe COVID-19 pneumonia and concomitant cytokine release syndrome may be particularly at risk for the development of secondary pulmonary hypertension and right ventricular failure. Pulmonary hypertension can develop unusually rapidly following COVID-19 pneumonia and probably results from progressive pulmonary interstitial and microvascular abnormalities due to COVID-19."
y87tq9wu,"The coronavirus disease of 2019 (COVID-19) is a pandemic disease that has taken the lives of many around the world. It is caused by severe acute respiratory syndrome-corona virus-2 (SARS-CoV-2). To date, the USA, Italy, Spain, France, Russia, and the UK have been hit the hardest by the virus. However, death counts are still rising. Some nations have managed to “flatten” the death rate via protective measures such physical distancing, quarantine measures, and therapeutic management. The structure of the SARS-CoV-2 virus comprises of S proteins, M proteins, E proteins, hemagglutinin esterases, nucleocapsid proteins, and a 30-kb RNA genome. Viral proteases cleave these polyproteins and RNA-dependent polymerases replicate the genome. Currently, there are no effective therapies against this new disease. Numerous investigators are developing novel protease inhibitors, some of which have made it into clinical trials. Researchers are also attempting to develop a vaccine. In this review paper, we discuss the latest therapeutic developments against COVID-19. [Figure: see text]"
1n5ej08f,"There is currently debate about human coronavirus (HCoV) seasonality and pathogenicity, as epidemiological data are scarce. Here, we provide epidemiological and clinical features of HCoV patients with acute respiratory infection (ARI) examined in primary care general practice. We also describe HCoV seasonality over six influenza surveillance seasons (week 40 to 15 of each season) from the period 2014/2015 to 2019/2020 in Corsica (France). A sample of patients of all ages presenting for consultation for influenza-like illness (ILI) or ARI was included by physicians of the French Sentinelles Network during this period. Nasopharyngeal samples were tested for the presence of 21 respiratory pathogens by real-time RT-PCR. Among the 1389 ILI/ARI patients, 105 were positive for at least one HCoV (7.5%). On an annual basis, HCoVs circulated from week 48 (November) to weeks 14-15 (May) and peaked in week 6 (February). Overall, among the HCoV-positive patients detected in this study, HCoV-OC43 was the most commonly detected virus, followed by HCoV-NL63, HCoV-HKU1, and HCoV-229E. The HCoV detection rates varied significantly with age (p = 0.00005), with the age group 0-14 years accounting for 28.6% (n = 30) of HCoV-positive patients. Fever and malaise were less frequent in HCoV patients than in influenza patients, while sore throat, dyspnoea, rhinorrhoea, and conjunctivitis were more associated with HCoV positivity. In conclusion, this study demonstrates that HCoV subtypes appear in ARI/ILI patients seen in general practice, with characteristic outbreak patterns primarily in winter. This study also identified symptoms associated with HCoVs in patients with ARI/ILI. Further studies with representative samples should be conducted to provide additional insights into the epidemiology and clinical features of HCoVs."
0t2a5500,"The Chinese rufous horseshoe bat (Rhinolophus sinicus) has been suggested to carry the direct ancestor of severe acute respiratory syndrome (SARS) coronavirus (SCoV), and the diversity of SARS-like CoVs (SLCoV) within this Rhinolophus species is therefore worth investigating. Here, we demonstrate the remarkable diversity of SLCoVs in R. sinicus and identify a strain with the same pattern of phylogenetic incongruence (i.e. an indication of recombination) as reported previously in another SLCoV strain. Moreover, this strain possesses a distinctive 579 nt deletion in the nsp3 region that was also found in a human SCoV from the late-phase epidemic. Phylogenetic analysis of the Orf1 region suggested that the human SCoVs are phylogenetically closer to SLCoVs in R. sinicus than to SLCoVs in other Rhinolophus species. These findings reveal a closer evolutionary linkage between SCoV in humans and SLCoVs in R. sinicus, defining the scope of surveillance to search for the direct ancestor of human SCoVs."
04h53wjz,The review addressed the relationship of coronavirus disease 2019 (COVID-19) with functioning of the renin-angiotensin-aldosterone axis and the causes for unfavorable prognosis depending on patients' age and comorbidities. The authors discussed in detail potential effects of angiotensin-converting enzyme inhibitors and angiotensin II type 1 receptor antagonists on the risk of infection and the course of COVID-2019 as well as the effect of SARS-COV2 virus on the cardiovascular system.
1a6guo10,"The number of patients infected with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has rapidly increased, although the WHO declared a pandemic. However, drugs that function against SARS-CoV-2 have not been established. SARS-CoV-2 has been suggested to bind angiotensin-converting enzyme 2, the receptor of the SARS coronavirus. SARS coronavirus and coronavirus 229E, the cause of the common cold, replicate through cell-surface and endosomal pathways using a protease, the type II transmembrane protease. To examine the effects of protease inhibitors on the replication of coronavirus 229E, we pretreated primary cultures of human nasal epithelial (HNE) cells with camostat or nafamostat, each of which has been used for the treatment of pancreatitis and/or disseminated intravascular coagulation. HNE cells were then infected with coronavirus 229E, and viral titers in the airway surface liquid of the cells were examined. Pretreatment with camostat (0.1-10 μg/mL) or nafamostat (0.01-1 μg/mL) reduced the titers of coronavirus 229E. Furthermore, a significant amount of type II transmembrane protease protein was detected in the airway surface liquid of HNE cells. Additionally, interferons have been reported to have antiviral effects against SARS coronavirus. The additive effects of interferons on the inhibitory effects of other candidate drugs to treat SARS-CoV-2 infection, such as lopinavir, ritonavir and favipiravir, have also been studied. These findings suggest that protease inhibitors of this type may inhibit coronavirus 229E replication in human airway epithelial cells at clinical concentrations. Protease inhibitors, interferons or the combination of these drugs may become candidate drugs to inhibit the replication of SARS-CoV-2."
28sgnyh1,"A novel coronavirus (SARS-CoV-2) first detected in Wuhan, China, has spread rapidly since December 2019, causing more than 100,000 confirmed infections and 4000 fatalities (as of 10 March 2020). The outbreak has been declared a pandemic by the WHO on Mar 11, 2020. Here, we explore how seasonal variation in transmissibility could modulate a SARS-CoV-2 pandemic. Data from routine diagnostics show a strong and consistent seasonal variation of the four endemic coronaviruses (229E, HKU1, NL63, OC43) and we parameterise our model for SARS-CoV-2 using these data. The model allows for many subpopulations of different size with variable parameters. Simulations of different scenarios show that plausible parameters result in a small peak in early 2020 in temperate regions of the Northern Hemisphere and a larger peak in winter 2020/2021. Variation in transmission and migration rates can result in substantial variation in prevalence between regions. While the uncertainty in parameters is large, the scenarios we explore show that transient reductions in the incidence rate might be due to a combination of seasonal variation and infection control efforts but do not necessarily mean the epidemic is contained. Seasonal forcing on SARS-CoV-2 should thus be taken into account in the further monitoring of the global transmission. The likely aggregated effect of seasonal variation, infection control measures, and transmission rate variation is a prolonged pandemic wave with lower prevalence at any given time, thereby providing a window of opportunity for better preparation of health care systems."
1x5bhtx7,"INTRODUCTION Chloroquine (CQ) and hydroxychloroquine (HCQ), originally were prescribed for prevention or treatment of malaria, but now successfully are used in several rheumatologic diseases. In addition, in recent decades considering their immunomodulatory effects, high tolerably and low cost, they are evaluated for various viral infections from HIV to COVID-19. AREAS COVERED In this review we tried to summarize all available studies on HCQ and CQ efficacy for management of viral infections and the probable mechanisms of action. The data were collected by searching ""Hydroxychloroquine"", ""Choloroquine"", ""Viral infection"", and names of various viral infections in PubMed/MEDLINE, Scopus, and Google Scholar databases from commencement to June 2020. Out of 95 search results, 74 most relevant works were gathered. EXPERT OPINION HCQ/CQ showed acceptable efficacy in HIV especially as an adjuvant treatment beside routine HAART. However, for some viral infections such as ZIKA, EBOLA, SARS-CoV and MERS-CoV, human studies are lacking. In the COVID-19 pandemic, in vitro and preliminary human studies showed encouraging findings. However, later well-designed trials and retrospective studies with large sample size, not only reported non-significant efficacy but also showed more cardiac adverse reactions. Alkalinisation of acid vesicles is the most important mechanism of action."
4nv1kedt,"As a result of the COVID-19 pandemic, many school districts have closed for the remainder of the academic year. These closures are unfortunate because, for many students, schools are their only source of trauma-informed care and supports. When schools reopen, they must develop a comprehensive plan to address the potential mental health needs of their students. (PsycInfo Database Record (c) 2020 APA, all rights reserved)."
6ar58ea6,"PURPOSE Accurately forecasting the occurrence of future covid-19-related cases across relaxed (Sweden) and stringent (USA and Canada) policy contexts has a renewed sense of urgency. Moreover, there is a need for a multidimensional county-level approach to monitor the second wave of covid-19 in the USA. METHOD We use an artificial intelligence framework based on timeline of policy interventions that triangulated results based on the three approaches-Bayesian susceptible-infected-recovered (SIR), Kalman filter, and machine learning. RESULTS Our findings suggest three important insights. First, the effective growth rate of covid-19 infections dropped in response to the approximate dates of key policy interventions. We find that the change points for spreading rates approximately coincide with the timelines of policy interventions across respective countries. Second, forecasted trend until mid-June in the USA was downward trending, stable, and linear. Sweden is likely to be heading in the other direction. That is, Sweden's forecasted trend until mid-June appears to be non-linear and upward trending. Canada appears to fall somewhere in the middle-the trend for the same period is flat. Third, a Kalman filter based robustness check indicates that by mid-June the USA will likely have close to two million virus cases, while Sweden will likely have over 44,000 covid-19 cases. CONCLUSION We show that drop in effective growth rate of covid-19 infections was sharper in the case of stringent policies (USA and Canada) but was more gradual in the case of relaxed policy (Sweden). Our study exhorts policy makers to take these results into account as they consider the implications of relaxing lockdown measures."
54mxjzfc,"The novel coronavirus (SARS-CoV-2) and the associated disease it causes, COVID-19, have caused unprecedented social disruption. Due to sweeping stay-at-home orders across the United States and internationally, many victims and survivors of domestic violence (DV), now forced to be isolated with their abusers, run the risk of new or escalating violence. Numerous advocates, organizations, and service centers anticipated this: Upticks in domestic violence were reported in many regions soon after stay-at-home directives were announced. In this commentary, we delineate some of the recent events leading up to the reported spike in DV; review literature on previously documented disaster-related DV surges; and discuss some of the unique challenges, dilemmas, and risks victims and survivors face during this pandemic. We conclude with recommendations to allocate resources to DV front-liners and utilize existing DV guidelines for disaster preparedness, response, and recovery. (PsycInfo Database Record (c) 2020 APA, all rights reserved)."
0fbmelx0,"This comment discusses the contribution of population movement to the spread of COVID-19, with a reference to the spread of SARS 17 years ago. We argue that the changing geography of migration, the diversification of jobs taken by migrants, the rapid growth of tourism and business trips, and the longer distance taken by people for family reunion are what make the spread of COVID-19 so differently from that of SARS. These changes in population movement are expected to continue. Hence, new strategies in disease prevention and control should be taken accordingly, which are also proposed in the comment."
2071y2x8,"Background: In response to the public health emergency created by the COVID-19 pandemic, American Heart Association volunteers and staff aimed to rapidly develop and launch a resource for the medical and research community to expedite scientific advancement through shared learning, quality improvement, and research. In less than 4 weeks after it was first announced on April 3, 2020, AHA's COVID-19 CVD Registry powered by Get With The Guidelines® (GWTG) received its first clinical records. Methods and Results: Participating hospitals are enrolling consecutive hospitalized patients with active COVID-19 disease, regardless of CVD status. This hospital quality improvement program will allow participating hospitals and health systems to evaluate patient-level data including mortality rates, intensive care unit (ICU) bed days, and ventilator days from individual review of electronic medical records of sequential adult patients with active COVID-19 infection. Participating sites can leverage these data for onsite, rapid quality improvement and benchmarking versus other institutions. After 9 weeks, more than 130 sites have enrolled in the program and more than 4,000 records have been abstracted in the national dataset. Additionally, the aggregate dataset will be a valuable data resource for the medical research community. Conclusions: The AHA COVID-19 CVD Registry will support greater understanding of the impact of COVID-19 on cardiovascular disease and will inform best practices for evaluation and management of patients with COVID-19."
